month,mean,median,std
1,67.31585555555554,67.4302,5.763463148817536
2,98.8531111111111,99.3051,11.128212193052901
3,141.71845555555558,139.6571,13.436885086033815
4,217.7637777777778,215.6388,19.079229027975547
5,253.5694,250.7047,24.726338246088925
6,281.78535555555555,284.0072,11.822340676354134
7,302.8919111111111,300.2729,13.949396667458828
8,261.11129999999997,259.7422,13.19231847686373
9,198.58175555555556,197.1141,8.882689971386926
10,127.93079999999999,124.736,12.485464487855461
11,84.42313333333334,81.9959,9.90010275704247
12,61.47953333333334,64.1999,6.238975563744419
