plate_code,province,month,p10,p50,p90,count,risk_band,risk_score
1,Adana,1,65.9634,73.2185,80.6345,9,14.6711,0.2004
1,Adana,2,84.0557,90.9235,109.3048,9,25.2491,0.2777
1,Adana,3,129.6717,137.915,141.2218,9,11.5502,0.0837
1,Adana,4,162.1916,170.0608,181.665,9,19.4734,0.1145
1,Adana,5,191.1826,213.4951,219.3609,9,28.1783,0.132
1,Adana,6,210.486,215.434,228.3264,9,17.8404,0.0828
1,Adana,7,225.745,233.694,240.0751,9,14.3301,0.0613
1,Adana,8,202.0109,209.6245,215.9412,9,13.9303,0.0665
1,Adana,9,170.9589,173.0242,175.4248,9,4.4659,0.0258
1,Adana,10,127.0893,132.6716,139.7251,9,12.6357,0.0952
1,Adana,11,84.764,87.4538,96.6457,9,11.8816,0.1359
1,Adana,12,60.1598,69.9439,77.5626,9,17.4028,0.2488
2,Adiyaman,1,52.8562,66.8618,73.6414,9,20.7852,0.3109
2,Adiyaman,2,75.7122,87.5412,103.6863,9,27.974,0.3196
2,Adiyaman,3,117.9221,125.9544,140.2984,9,22.3763,0.1777
2,Adiyaman,4,160.4032,171.4397,186.0681,9,25.6649,0.1497
2,Adiyaman,5,206.44,213.7961,229.1891,9,22.7491,0.1064
2,Adiyaman,6,230.6334,243.3476,251.5106,9,20.8773,0.0858
2,Adiyaman,7,254.3229,256.15,262.5378,9,8.2149,0.0321
2,Adiyaman,8,223.3328,228.7424,234.9371,9,11.6044,0.0507
2,Adiyaman,9,178.5167,182.3116,187.776,9,9.2592,0.0508
2,Adiyaman,10,116.2741,130.4105,136.7277,9,20.4536,0.1568
2,Adiyaman,11,71.9369,82.6046,94.0889,9,22.152,0.2682
2,Adiyaman,12,49.7768,68.5792,75.1442,9,25.3674,0.3699
3,Afyonkarahisar,1,45.8387,63.0475,78.2437,9,32.4049,0.514
3,Afyonkarahisar,2,70.1625,81.2499,92.9704,9,22.8079,0.2807
3,Afyonkarahisar,3,116.866,120.613,132.05,9,15.1841,0.1259
3,Afyonkarahisar,4,147.0199,163.0004,182.8555,9,35.8357,0.2199
3,Afyonkarahisar,5,173.684,195.882,210.7731,9,37.0891,0.1893
3,Afyonkarahisar,6,191.718,204.0327,217.1865,9,25.4685,0.1248
3,Afyonkarahisar,7,230.1382,241.304,247.5632,9,17.425,0.0722
3,Afyonkarahisar,8,206.5787,210.3789,222.2953,9,15.7165,0.0747
3,Afyonkarahisar,9,161.5378,169.0805,174.508,9,12.9701,0.0767
3,Afyonkarahisar,10,112.1217,122.6878,127.8417,9,15.7201,0.1281
3,Afyonkarahisar,11,74.5408,84.4011,86.4759,9,11.9351,0.1414
3,Afyonkarahisar,12,50.8914,55.99,66.656,9,15.7645,0.2816
4,Agri,1,41.5368,51.7656,63.2983,9,21.7616,0.4204
4,Agri,2,63.1605,74.3201,80.5525,9,17.392,0.234
4,Agri,3,100.0207,104.0118,111.4769,9,11.4561,0.1101
4,Agri,4,128.2584,144.8685,165.0852,9,36.8269,0.2542
4,Agri,5,168.512,184.0629,205.568,9,37.0561,0.2013
4,Agri,6,209.3788,217.3738,235.686,9,26.3072,0.121
4,Agri,7,219.4706,229.37,237.5619,9,18.0913,0.0789
4,Agri,8,205.3986,208.7637,216.2598,9,10.8613,0.052
4,Agri,9,158.9946,168.1724,171.06,9,12.0654,0.0717
4,Agri,10,105.588,116.432,128.416,9,22.8279,0.1961
4,Agri,11,59.2865,71.979,82.7544,9,23.4679,0.326
4,Agri,12,30.4022,40.3495,58.4791,9,28.0769,0.6958
5,Amasya,1,40.49,47.1116,50.6919,9,10.2018,0.2165
5,Amasya,2,57.3771,67.1418,72.4157,9,15.0386,0.224
5,Amasya,3,97.4411,102.8247,114.0434,9,16.6023,0.1615
5,Amasya,4,128.5773,140.4459,160.4155,9,31.8382,0.2267
