plate_code,province,avg_p10,avg_p50,avg_p90,avg_risk_band,avg_risk_score
79,Kilis,148.2431,157.3978,166.377,18.1339,0.1589
63,Sanliurfa,148.1232,157.1853,166.9462,18.823,0.1637
7,Antalya,149.5761,156.3068,163.3026,13.7265,0.1123
9,Aydin,145.882,155.2471,163.7437,17.8616,0.1451
31,Hatay,147.7625,154.843,162.496,14.7335,0.1404
46,Kahramanmaras,143.9807,154.8197,163.6598,19.6791,0.1698
2,Adiyaman,144.8439,154.8116,164.6338,19.7899,0.1732
27,Gaziantep,144.2624,154.6462,165.3677,21.1053,0.1848
47,Mardin,145.5115,154.4255,164.6854,19.174,0.1682
70,Karaman,142.7549,153.521,163.8777,21.1228,0.1812
33,Mersin,146.1463,152.8149,159.4541,13.3078,0.1092
15,Burdur,144.7009,152.6717,163.4768,18.7759,0.1478
51,Nigde,139.0464,151.5861,161.4041,22.3578,0.187
1,Adana,142.8566,150.6216,158.824,15.9674,0.127
73,Sirnak,139.835,150.4962,159.7504,19.9154,0.1788
35,Izmir,142.667,150.3838,159.2719,16.6048,0.1387
72,Batman,141.0594,150.2882,159.4197,18.3604,0.1623
21,Diyarbakir,140.1725,150.1886,160.5509,20.3784,0.1764
56,Siirt,140.6966,150.088,159.4446,18.748,0.166
68,Aksaray,139.9813,150.0151,159.4421,19.4609,0.1571
42,Konya,139.8548,148.9285,158.1372,18.2824,0.1385
65,Van,138.1451,148.8536,158.333,20.1879,0.1811
20,Denizli,139.0482,148.6314,160.2139,21.1657,0.1677
48,Mugla,138.3579,148.49,161.4593,23.1014,0.1946
30,Hakkari,137.781,148.1075,158.8991,21.1181,0.1893
23,Elazig,138.0414,148.0404,159.4858,21.4444,0.1925
44,Malatya,137.5733,147.3708,158.8564,21.2831,0.1949
64,Usak,136.9882,147.1255,157.2512,20.263,0.1636
40,Kirsehir,135.0599,145.5529,155.4266,20.3667,0.1718
45,Manisa,135.6648,145.4038,154.4384,18.7736,0.1506
32,Isparta,134.7803,144.9955,157.3458,22.5655,0.1858
38,Kayseri,131.8756,143.8641,153.8298,21.9542,0.1793
62,Tunceli,131.6247,143.4853,153.5821,21.9574,0.2087
50,Nevsehir,129.9121,143.0103,153.4078,23.4957,0.2043
3,Afyonkarahisar,131.7581,142.639,153.2849,21.5268,0.1858
13,Bitlis,130.5461,142.2179,155.2918,24.7458,0.2476
12,Bingol,130.3849,141.4745,155.0621,24.6773,0.2435
17,Canakkale,131.4056,141.4072,151.0474,19.6418,0.1624
80,Osmaniye,130.8062,141.188,154.5303,23.7241,0.1831
24,Erzincan,128.0713,140.483,152.9706,24.8993,0.2292
71,Kirikkale,130.7388,140.4374,150.876,20.1372,0.1809
49,Mus,127.9802,137.9582,151.6402,23.66,0.2319
10,Balikesir,127.5419,137.9491,148.324,20.7821,0.1728
6,Ankara,128.4103,137.9144,148.7659,20.3556,0.1723
26,Eskisehir,126.526,137.6015,147.6736,21.1476,0.1802
66,Yozgat,125.3226,137.0968,148.449,23.1264,0.2081
58,Sivas,125.5639,136.921,148.2544,22.6904,0.2084
18,Cankiri,124.4096,135.4889,146.2424,21.8328,0.1936
76,Igdir,122.6287,135.1645,144.6555,22.0267,0.1987
43,Kutahya,123.5808,134.9584,146.427,22.8462,0.1865
25,Erzurum,123.5291,134.5133,147.6753,24.1462,0.2089
4,Agri,124.1673,134.2891,146.3498,22.1826,0.2301
69,Bayburt,118.6515,132.0126,144.6304,25.9789,0.2395
19,Corum,123.5312,131.9075,143.3002,19.769,0.1766
22,Edirne,121.072,131.8701,141.8541,20.7821,0.1939
39,Kirklareli,120.9821,131.7428,142.5647,21.5826,0.1917
11,Bilecik,117.4983,128.877,140.7744,23.2762,0.1876
59,Tekirdag,118.5365,128.691,138.1654,19.6289,0.1869
36,Kars,114.2004,127.7203,140.4876,26.2872,0.2674
60,Tokat,116.7126,127.403,141.3789,24.6663,0.2226
34,Istanbul,117.821,127.172,137.9147,20.0936,0.1796
29,Gumushane,115.9072,126.2307,137.9111,22.0039,0.1967
78,Karabuk,115.5242,126.0355,138.7273,23.2031,0.1914
16,Bursa,114.1506,125.9536,136.983,22.8324,0.1934
74,Bartin,114.0284,125.1108,137.2478,23.2194,0.2013
75,Ardahan,113.1693,124.7366,138.5698,25.4006,0.2428
77,Yalova,114.0958,123.7581,135.2597,21.1639,0.188
14,Bolu,110.3645,123.4945,135.5852,25.2207,0.2195
37,Kastamonu,111.6574,123.2702,136.0769,24.4195,0.2137
5,Amasya,113.1997,122.5213,131.8729,18.6731,0.1689
41,Kocaeli,108.1561,120.4896,132.5904,24.4343,0.2126
67,Zonguldak,108.5778,120.1234,130.9559,22.3781,0.1975
54,Sakarya,107.8165,119.6897,132.7821,24.9656,0.2186
57,Sinop,108.9662,119.4113,129.7395,20.7733,0.1929
8,Artvin,106.6295,118.6956,133.6143,26.9848,0.2462
81,Duzce,103.362,117.7679,130.4712,27.1092,0.2421
55,Samsun,103.5283,115.7437,126.4998,22.9715,0.2125
52,Ordu,95.3411,106.9995,119.7081,24.367,0.2455
28,Giresun,85.8174,98.6858,112.6121,26.7946,0.2793
53,Rize,83.0531,95.5667,110.611,27.5579,0.2879
61,Trabzon,77.2264,86.0002,98.98,21.7535,0.2121
