year,month,year_month,avg_ghi_w_m2,hour_count,source,latitude,longitude
2015,1,2015-01,74.636,744,PVGIS,41.0082,28.9784
2015,2,2015-02,88.1236,672,PVGIS,41.0082,28.9784
2015,3,2015-03,130.0413,744,PVGIS,41.0082,28.9784
2015,4,2015-04,215.6388,720,PVGIS,41.0082,28.9784
2015,5,2015-05,269.4139,744,PVGIS,41.0082,28.9784
2015,6,2015-06,266.084,720,PVGIS,41.0082,28.9784
2015,7,2015-07,321.7561,744,PVGIS,41.0082,28.9784
2015,8,2015-08,259.7422,744,PVGIS,41.0082,28.9784
2015,9,2015-09,192.3184,720,PVGIS,41.0082,28.9784
2015,10,2015-10,110.2814,744,PVGIS,41.0082,28.9784
2015,11,2015-11,94.6399,720,PVGIS,41.0082,28.9784
2015,12,2015-12,69.3602,744,PVGIS,41.0082,28.9784
2016,1,2016-01,66.1976,744,PVGIS,41.0082,28.9784
2016,2,2016-02,100.1399,696,PVGIS,41.0082,28.9784
2016,3,2016-03,139.6571,744,PVGIS,41.0082,28.9784
2016,4,2016-04,246.8288,720,PVGIS,41.0082,28.9784
2016,5,2016-05,263.0671,744,PVGIS,41.0082,28.9784
2016,6,2016-06,301.7999,720,PVGIS,41.0082,28.9784
2016,7,2016-07,312.7726,744,PVGIS,41.0082,28.9784
2016,8,2016-08,251.0425,744,PVGIS,41.0082,28.9784
2016,9,2016-09,197.1452,720,PVGIS,41.0082,28.9784
2016,10,2016-10,122.0079,744,PVGIS,41.0082,28.9784
2016,11,2016-11,80.1406,720,PVGIS,41.0082,28.9784
2016,12,2016-12,66.2236,744,PVGIS,41.0082,28.9784
2017,1,2017-01,57.8483,744,PVGIS,41.0082,28.9784
2017,2,2017-02,99.0363,672,PVGIS,41.0082,28.9784
2017,3,2017-03,147.2958,744,PVGIS,41.0082,28.9784
2017,4,2017-04,226.9598,720,PVGIS,41.0082,28.9784
2017,5,2017-05,247.7843,744,PVGIS,41.0082,28.9784
2017,6,2017-06,284.0072,720,PVGIS,41.0082,28.9784
2017,7,2017-07,299.0262,744,PVGIS,41.0082,28.9784
2017,8,2017-08,248.4313,744,PVGIS,41.0082,28.9784
2017,9,2017-09,211.3522,720,PVGIS,41.0082,28.9784
2017,10,2017-10,145.2635,744,PVGIS,41.0082,28.9784
2017,11,2017-11,92.3214,720,PVGIS,41.0082,28.9784
2017,12,2017-12,64.1999,744,PVGIS,41.0082,28.9784
2018,1,2018-01,68.2835,744,PVGIS,41.0082,28.9784
2018,2,2018-02,77.2598,672,PVGIS,41.0082,28.9784
2018,3,2018-03,135.1651,744,PVGIS,41.0082,28.9784
2018,4,2018-04,243.902,720,PVGIS,41.0082,28.9784
2018,5,2018-05,222.5103,744,PVGIS,41.0082,28.9784
2018,6,2018-06,288.3174,720,PVGIS,41.0082,28.9784
2018,7,2018-07,291.3237,744,PVGIS,41.0082,28.9784
2018,8,2018-08,274.3977,744,PVGIS,41.0082,28.9784
2018,9,2018-09,184.6797,720,PVGIS,41.0082,28.9784
2018,10,2018-10,124.736,744,PVGIS,41.0082,28.9784
2018,11,2018-11,70.01,720,PVGIS,41.0082,28.9784
2018,12,2018-12,48.6269,744,PVGIS,41.0082,28.9784
2019,1,2019-01,59.2345,744,PVGIS,41.0082,28.9784
2019,2,2019-02,95.1983,672,PVGIS,41.0082,28.9784
2019,3,2019-03,174.1046,744,PVGIS,41.0082,28.9784
2019,4,2019-04,211.6383,720,PVGIS,41.0082,28.9784
2019,5,2019-05,250.5243,744,PVGIS,41.0082,28.9784
2019,6,2019-06,287.8148,720,PVGIS,41.0082,28.9784
2019,7,2019-07,278.911,744,PVGIS,41.0082,28.9784
2019,8,2019-08,264.3922,744,PVGIS,41.0082,28.9784
2019,9,2019-09,212.2718,720,PVGIS,41.0082,28.9784
2019,10,2019-10,142.869,744,PVGIS,41.0082,28.9784
2019,11,2019-11,100.2868,720,PVGIS,41.0082,28.9784
2019,12,2019-12,64.501,744,PVGIS,41.0082,28.9784
2020,1,2020-01,67.4302,744,PVGIS,41.0082,28.9784
2020,2,2020-02,111.2184,696,PVGIS,41.0082,28.9784
2020,3,2020-03,143.8798,744,PVGIS,41.0082,28.9784
2020,4,2020-04,215.9932,720,PVGIS,41.0082,28.9784
2020,5,2020-05,250.7047,744,PVGIS,41.0082,28.9784
2020,6,2020-06,289.2826,720,PVGIS,41.0082,28.9784
2020,7,2020-07,300.2729,744,PVGIS,41.0082,28.9784
2020,8,2020-08,277.0981,744,PVGIS,41.0082,28.9784
2020,9,2020-09,195.4344,720,PVGIS,41.0082,28.9784
2020,10,2020-10,131.9761,744,PVGIS,41.0082,28.9784
2020,11,2020-11,78.9693,720,PVGIS,41.0082,28.9784
2020,12,2020-12,55.7249,744,PVGIS,41.0082,28.9784
2021,1,2021-01,67.1032,744,PVGIS,41.0082,28.9784
2021,2,2021-02,111.4181,672,PVGIS,41.0082,28.9784
2021,3,2021-03,140.1702,744,PVGIS,41.0082,28.9784
2021,4,2021-04,205.2894,720,PVGIS,41.0082,28.9784
2021,5,2021-05,265.6939,744,PVGIS,41.0082,28.9784
2021,6,2021-06,265.0907,720,PVGIS,41.0082,28.9784
2021,7,2021-07,293.0558,744,PVGIS,41.0082,28.9784
2021,8,2021-08,279.2874,744,PVGIS,41.0082,28.9784
2021,9,2021-09,194.3329,720,PVGIS,41.0082,28.9784
2021,10,2021-10,112.8751,744,PVGIS,41.0082,28.9784
2021,11,2021-11,81.9959,720,PVGIS,41.0082,28.9784
2021,12,2021-12,60.3228,744,PVGIS,41.0082,28.9784
2022,1,2022-01,72.7503,744,PVGIS,41.0082,28.9784
2022,2,2022-02,99.3051,672,PVGIS,41.0082,28.9784
2022,3,2022-03,134.3988,744,PVGIS,41.0082,28.9784
2022,4,2022-04,207.3199,720,PVGIS,41.0082,28.9784
2022,5,2022-05,297.2818,744,PVGIS,41.0082,28.9784
2022,6,2022-06,278.0913,720,PVGIS,41.0082,28.9784
2022,7,2022-07,316.4984,744,PVGIS,41.0082,28.9784
2022,8,2022-08,247.1298,744,PVGIS,41.0082,28.9784
2022,9,2022-09,197.1141,720,PVGIS,41.0082,28.9784
2022,10,2022-10,123.3175,744,PVGIS,41.0082,28.9784
2022,11,2022-11,86.9095,720,PVGIS,41.0082,28.9784
2022,12,2022-12,59.9831,744,PVGIS,41.0082,28.9784
2023,1,2023-01,72.3591,744,PVGIS,41.0082,28.9784
2023,2,2023-02,107.9785,672,PVGIS,41.0082,28.9784
2023,3,2023-03,130.7534,744,PVGIS,41.0082,28.9784
2023,4,2023-04,186.3038,720,PVGIS,41.0082,28.9784
2023,5,2023-05,215.1443,744,PVGIS,41.0082,28.9784
2023,6,2023-06,275.5803,720,PVGIS,41.0082,28.9784
2023,7,2023-07,312.4105,744,PVGIS,41.0082,28.9784
2023,8,2023-08,248.4805,744,PVGIS,41.0082,28.9784
2023,9,2023-09,202.5871,720,PVGIS,41.0082,28.9784
2023,10,2023-10,138.0507,744,PVGIS,41.0082,28.9784
2023,11,2023-11,74.5348,720,PVGIS,41.0082,28.9784
2023,12,2023-12,64.3734,744,PVGIS,41.0082,28.9784
